id,query,scholar_name,scholar_urdu,scholar_born,scholar_country,scholar_languages,scholar_specialization,scholar_known_for,scholar_books,scholar_youtube,scholar_followers_millions,scholar_style,scholar_audience,category,topic,intent,language,answer,label,label_id
42,Ibtasim Illahi Zaheer lectures on Aqeedah,Ibtasim Illahi Zaheer,ابتسام الٰہی ظہیر,1975,Pakistan,Urdu|Arabic|English,Ahl-e-Hadith Fiqh|Comparative Religion|Dawah,"Scholarly debates, Ahl-e-Hadith scholarship, TV programs",Islam Ka Nizam e Zindagi|Maktaba Ibtasim,Ibtasim Ilahi Zaheer Official,2.1,Scholarly/Analytical,"Religious Students, Scholars",lectures,Aqeedah,lecture_search,english,"Ibtasim Illahi Zaheer ke Aqeedah par bohat ache bayans hain. Aap unka YouTube channel 'Ibtasim Ilahi Zaheer Official' pe dekh sakte hain. Unke approximately 2.1 million followers hain. Unka style Scholarly/Analytical hai jo Religious Students, Scholars ko pasand hai.",Ibtasim Illahi Zaheer,1
43,ابتسام الٰہی ظہیر ka bayan YouTube pe,Ibtasim Illahi Zaheer,ابتسام الٰہی ظہیر,1975,Pakistan,Urdu|Arabic|English,Ahl-e-Hadith Fiqh|Comparative Religion|Dawah,"Scholarly debates, Ahl-e-Hadith scholarship, TV programs",Islam Ka Nizam e Zindagi|Maktaba Ibtasim,Ibtasim Ilahi Zaheer Official,2.1,Scholarly/Analytical,"Religious Students, Scholars",lectures,Comparative Religion,lecture_search,english,"Ibtasim Illahi Zaheer ke Comparative Religion par bohat ache bayans hain. Aap unka YouTube channel 'Ibtasim Ilahi Zaheer Official' pe dekh sakte hain. Unke approximately 2.1 million followers hain. Unka style Scholarly/Analytical hai jo Religious Students, Scholars ko pasand hai.",Ibtasim Illahi Zaheer,1
44,Best Ibtasim Illahi Zaheer speech ever,Ibtasim Illahi Zaheer,ابتسام الٰہی ظہیر,1975,Pakistan,Urdu|Arabic|English,Ahl-e-Hadith Fiqh|Comparative Religion|Dawah,"Scholarly debates, Ahl-e-Hadith scholarship, TV programs",Islam Ka Nizam e Zindagi|Maktaba Ibtasim,Ibtasim Ilahi Zaheer Official,2.1,Scholarly/Analytical,"Religious Students, Scholars",lectures,Fiqh,lecture_search,english,"Ibtasim Illahi Zaheer ke Fiqh par bohat ache bayans hain. Aap unka YouTube channel 'Ibtasim Ilahi Zaheer Official' pe dekh sakte hain. Unke approximately 2.1 million followers hain. Unka style Scholarly/Analytical hai jo Religious Students, Scholars ko pasand hai.",Ibtasim Illahi Zaheer,1
45,Ibtasim Illahi Zaheer ki Family Law par taqreer,Ibtasim Illahi Zaheer,ابتسام الٰہی ظہیر,1975,Pakistan,Urdu|Arabic|English,Ahl-e-Hadith Fiqh|Comparative Religion|Dawah,"Scholarly debates, Ahl-e-Hadith scholarship, TV programs",Islam Ka Nizam e Zindagi|Maktaba Ibtasim,Ibtasim Ilahi Zaheer Official,2.1,Scholarly/Analytical,"Religious Students, Scholars",lectures,Family Law,lecture_search,english,"Ibtasim Illahi Zaheer ke Family Law par bohat ache bayans hain. Aap unka YouTube channel 'Ibtasim Ilahi Zaheer Official' pe dekh sakte hain. Unke approximately 2.1 million followers hain. Unka style Scholarly/Analytical hai jo Religious Students, Scholars ko pasand hai.",Ibtasim Illahi Zaheer,1
46,Where to watch Ibtasim Illahi Zaheer lectures?,Ibtasim Illahi Zaheer,ابتسام الٰہی ظہیر,1975,Pakistan,Urdu|Arabic|English,Ahl-e-Hadith Fiqh|Comparative Religion|Dawah,"Scholarly debates, Ahl-e-Hadith scholarship, TV programs",Islam Ka Nizam e Zindagi|Maktaba Ibtasim,Ibtasim Ilahi Zaheer Official,2.1,Scholarly/Analytical,"Religious Students, Scholars",lectures,Hadith Science,lecture_search,english,"Ibtasim Illahi Zaheer ke Hadith Science par bohat ache bayans hain. Aap unka YouTube channel 'Ibtasim Ilahi Zaheer Official' pe dekh sakte hain. Unke approximately 2.1 million followers hain. Unka style Scholarly/Analytical hai jo Religious Students, Scholars ko pasand hai.",Ibtasim Illahi Zaheer,1
47,Ibtasim Illahi Zaheer ka mashhoor bayan,Ibtasim Illahi Zaheer,ابتسام الٰہی ظہیر,1975,Pakistan,Urdu|Arabic|English,Ahl-e-Hadith Fiqh|Comparative Religion|Dawah,"Scholarly debates, Ahl-e-Hadith scholarship, TV programs",Islam Ka Nizam e Zindagi|Maktaba Ibtasim,Ibtasim Ilahi Zaheer Official,2.1,Scholarly/Analytical,"Religious Students, Scholars",lectures,Comparative Religion,lecture_search,english,"Ibtasim Illahi Zaheer ke Comparative Religion par bohat ache bayans hain. Aap unka YouTube channel 'Ibtasim Ilahi Zaheer Official' pe dekh sakte hain. Unke approximately 2.1 million followers hain. Unka style Scholarly/Analytical hai jo Religious Students, Scholars ko pasand hai.",Ibtasim Illahi Zaheer,1
48,Ibtasim Illahi Zaheer ki kitabein kaun si hain?,Ibtasim Illahi Zaheer,ابتسام الٰہی ظہیر,1975,Pakistan,Urdu|Arabic|English,Ahl-e-Hadith Fiqh|Comparative Religion|Dawah,"Scholarly debates, Ahl-e-Hadith scholarship, TV programs",Islam Ka Nizam e Zindagi|Maktaba Ibtasim,Ibtasim Ilahi Zaheer Official,2.1,Scholarly/Analytical,"Religious Students, Scholars",books,Comparative Religion,recommendation,english,"Ibtasim Illahi Zaheer ki mashoor kitabein hain: Islam Ka Nizam e Zindagi, Maktaba Ibtasim. Yeh kitabein Ahl-e-Hadith Fiqh, Comparative Religion ke topics cover karti hain. Aap yeh online ya Islamic bookstores se hasil kar sakte hain.",Ibtasim Illahi Zaheer,1
49,Ibtasim Illahi Zaheer books list,Ibtasim Illahi Zaheer,ابتسام الٰہی ظہیر,1975,Pakistan,Urdu|Arabic|English,Ahl-e-Hadith Fiqh|Comparative Religion|Dawah,"Scholarly debates, Ahl-e-Hadith scholarship, TV programs",Islam Ka Nizam e Zindagi|Maktaba Ibtasim,Ibtasim Ilahi Zaheer Official,2.1,Scholarly/Analytical,"Religious Students, Scholars",books,Fiqh,recommendation,english,"Ibtasim Illahi Zaheer ki mashoor kitabein hain: Islam Ka Nizam e Zindagi, Maktaba Ibtasim. Yeh kitabein Ahl-e-Hadith Fiqh, Comparative Religion ke topics cover karti hain. Aap yeh online ya Islamic bookstores se hasil kar sakte hain.",Ibtasim Illahi Zaheer,1
50,ابتسام الٰہی ظہیر ki best book recommend karo,Ibtasim Illahi Zaheer,ابتسام الٰہی ظہیر,1975,Pakistan,Urdu|Arabic|English,Ahl-e-Hadith Fiqh|Comparative Religion|Dawah,"Scholarly debates, Ahl-e-Hadith scholarship, TV programs",Islam Ka Nizam e Zindagi|Maktaba Ibtasim,Ibtasim Ilahi Zaheer Official,2.1,Scholarly/Analytical,"Religious Students, Scholars",books,Fiqh,recommendation,english,"Ibtasim Illahi Zaheer ki mashoor kitabein hain: Islam Ka Nizam e Zindagi, Maktaba Ibtasim. Yeh kitabein Ahl-e-Hadith Fiqh, Comparative Religion ke topics cover karti hain. Aap yeh online ya Islamic bookstores se hasil kar sakte hain.",Ibtasim Illahi Zaheer,1
51,Ibtasim Illahi Zaheer written works,Ibtasim Illahi Zaheer,ابتسام الٰہی ظہیر,1975,Pakistan,Urdu|Arabic|English,Ahl-e-Hadith Fiqh|Comparative Religion|Dawah,"Scholarly debates, Ahl-e-Hadith scholarship, TV programs",Islam Ka Nizam e Zindagi|Maktaba Ibtasim,Ibtasim Ilahi Zaheer Official,2.1,Scholarly/Analytical,"Religious Students, Scholars",books,Family Law,recommendation,english,"Ibtasim Illahi Zaheer ki mashoor kitabein hain: Islam Ka Nizam e Zindagi, Maktaba Ibtasim. Yeh kitabein Ahl-e-Hadith Fiqh, Comparative Religion ke topics cover karti hain. Aap yeh online ya Islamic bookstores se hasil kar sakte hain.",Ibtasim Illahi Zaheer,1
52,Ibtasim Illahi Zaheer ki Hadith Science par likhi kitab,Ibtasim Illahi Zaheer,ابتسام الٰہی ظہیر,1975,Pakistan,Urdu|Arabic|English,Ahl-e-Hadith Fiqh|Comparative Religion|Dawah,"Scholarly debates, Ahl-e-Hadith scholarship, TV programs",Islam Ka Nizam e Zindagi|Maktaba Ibtasim,Ibtasim Ilahi Zaheer Official,2.1,Scholarly/Analytical,"Religious Students, Scholars",books,Hadith Science,recommendation,english,"Ibtasim Illahi Zaheer ki mashoor kitabein hain: Islam Ka Nizam e Zindagi, Maktaba Ibtasim. Yeh kitabein Ahl-e-Hadith Fiqh, Comparative Religion ke topics cover karti hain. Aap yeh online ya Islamic bookstores se hasil kar sakte hain.",Ibtasim Illahi Zaheer,1
53,"Mujhe Family Law ke barey mein sunna hai, kaun sa scholar best hai?",Ibtasim Illahi Zaheer,ابتسام الٰہی ظہیر,1975,Pakistan,Urdu|Arabic|English,Ahl-e-Hadith Fiqh|Comparative Religion|Dawah,"Scholarly debates, Ahl-e-Hadith scholarship, TV programs",Islam Ka Nizam e Zindagi|Maktaba Ibtasim,Ibtasim Ilahi Zaheer Official,2.1,Scholarly/Analytical,"Religious Students, Scholars",recommendation,Family Law,recommendation,english,"Family Law ke liye Ibtasim Illahi Zaheer (ابتسام الٰہی ظہیر) best choice hain. Woh is topic mein Ahl-e-Hadith Fiqh, Comparative Religion ke expert hain. Unka YouTube channel 'Ibtasim Ilahi Zaheer Official' pe bohat content available hai. Unka andaz Scholarly/Analytical hai.",Ibtasim Illahi Zaheer,1
54,Best scholar for Family Law,Ibtasim Illahi Zaheer,ابتسام الٰہی ظہیر,1975,Pakistan,Urdu|Arabic|English,Ahl-e-Hadith Fiqh|Comparative Religion|Dawah,"Scholarly debates, Ahl-e-Hadith scholarship, TV programs",Islam Ka Nizam e Zindagi|Maktaba Ibtasim,Ibtasim Ilahi Zaheer Official,2.1,Scholarly/Analytical,"Religious Students, Scholars",recommendation,Family Law,recommendation,english,"Family Law ke liye Ibtasim Illahi Zaheer (ابتسام الٰہی ظہیر) best choice hain. Woh is topic mein Ahl-e-Hadith Fiqh, Comparative Religion ke expert hain. Unka YouTube channel 'Ibtasim Ilahi Zaheer Official' pe bohat content available hai. Unka andaz Scholarly/Analytical hai.",Ibtasim Illahi Zaheer,1
55,Fiqh ke liye kon sunoon?,Ibtasim Illahi Zaheer,ابتسام الٰہی ظہیر,1975,Pakistan,Urdu|Arabic|English,Ahl-e-Hadith Fiqh|Comparative Religion|Dawah,"Scholarly debates, Ahl-e-Hadith scholarship, TV programs",Islam Ka Nizam e Zindagi|Maktaba Ibtasim,Ibtasim Ilahi Zaheer Official,2.1,Scholarly/Analytical,"Religious Students, Scholars",recommendation,Fiqh,recommendation,english,"Fiqh ke liye Ibtasim Illahi Zaheer (ابتسام الٰہی ظہیر) best choice hain. Woh is topic mein Ahl-e-Hadith Fiqh, Comparative Religion ke expert hain. Unka YouTube channel 'Ibtasim Ilahi Zaheer Official' pe bohat content available hai. Unka andaz Scholarly/Analytical hai.",Ibtasim Illahi Zaheer,1
56,Recommend me a scholar for Aqeedah,Ibtasim Illahi Zaheer,ابتسام الٰہی ظہیر,1975,Pakistan,Urdu|Arabic|English,Ahl-e-Hadith Fiqh|Comparative Religion|Dawah,"Scholarly debates, Ahl-e-Hadith scholarship, TV programs",Islam Ka Nizam e Zindagi|Maktaba Ibtasim,Ibtasim Ilahi Zaheer Official,2.1,Scholarly/Analytical,"Religious Students, Scholars",recommendation,Aqeedah,recommendation,english,"Aqeedah ke liye Ibtasim Illahi Zaheer (ابتسام الٰہی ظہیر) best choice hain. Woh is topic mein Ahl-e-Hadith Fiqh, Comparative Religion ke expert hain. Unka YouTube channel 'Ibtasim Ilahi Zaheer Official' pe bohat content available hai. Unka andaz Scholarly/Analytical hai.",Ibtasim Illahi Zaheer,1
57,Fiqh par kaun se alim sunoon?,Ibtasim Illahi Zaheer,ابتسام الٰہی ظہیر,1975,Pakistan,Urdu|Arabic|English,Ahl-e-Hadith Fiqh|Comparative Religion|Dawah,"Scholarly debates, Ahl-e-Hadith scholarship, TV programs",Islam Ka Nizam e Zindagi|Maktaba Ibtasim,Ibtasim Ilahi Zaheer Official,2.1,Scholarly/Analytical,"Religious Students, Scholars",recommendation,Fiqh,recommendation,english,"Fiqh ke liye Ibtasim Illahi Zaheer (ابتسام الٰہی ظہیر) best choice hain. Woh is topic mein Ahl-e-Hadith Fiqh, Comparative Religion ke expert hain. Unka YouTube channel 'Ibtasim Ilahi Zaheer Official' pe bohat content available hai. Unka andaz Scholarly/Analytical hai.",Ibtasim Illahi Zaheer,1
58,Ibtasim Illahi Zaheer aur Nouman Ali Khan mein farq kya hai?,Ibtasim Illahi Zaheer,ابتسام الٰہی ظہیر,1975,Pakistan,Urdu|Arabic|English,Ahl-e-Hadith Fiqh|Comparative Religion|Dawah,"Scholarly debates, Ahl-e-Hadith scholarship, TV programs",Islam Ka Nizam e Zindagi|Maktaba Ibtasim,Ibtasim Ilahi Zaheer Official,2.1,Scholarly/Analytical,"Religious Students, Scholars",comparison,Aqeedah,comparison,english,"Ibtasim Illahi Zaheer aur Nouman Ali Khan dono ache scholars hain lekin alag style rakhte hain. Ibtasim Illahi Zaheer ka andaz Scholarly/Analytical hai aur Religious Students, Scholars ke liye best hai. Nouman Ali Khan ka andaz Relatable/Youth Oriented hai aur Western Muslims, Youth, Students ke liye suitable hai. Aapki zaroorat ke mutabiq choose karein.",Ibtasim Illahi Zaheer,1
59,Ibtasim Illahi Zaheer vs Javed Ahmad Ghamidi style,Ibtasim Illahi Zaheer,ابتسام الٰہی ظہیر,1975,Pakistan,Urdu|Arabic|English,Ahl-e-Hadith Fiqh|Comparative Religion|Dawah,"Scholarly debates, Ahl-e-Hadith scholarship, TV programs",Islam Ka Nizam e Zindagi|Maktaba Ibtasim,Ibtasim Ilahi Zaheer Official,2.1,Scholarly/Analytical,"Religious Students, Scholars",comparison,Aqeedah,comparison,english,"Ibtasim Illahi Zaheer aur Javed Ahmad Ghamidi dono ache scholars hain lekin alag style rakhte hain. Ibtasim Illahi Zaheer ka andaz Scholarly/Analytical hai aur Religious Students, Scholars ke liye best hai. Javed Ahmad Ghamidi ka andaz Intellectual/Reform hai aur Educated Elite, Doubting Muslims ke liye suitable hai. Aapki zaroorat ke mutabiq choose karein.",Ibtasim Illahi Zaheer,1
60,Which is better Ibtasim Illahi Zaheer or Tariq Jameel?,Ibtasim Illahi Zaheer,ابتسام الٰہی ظہیر,1975,Pakistan,Urdu|Arabic|English,Ahl-e-Hadith Fiqh|Comparative Religion|Dawah,"Scholarly debates, Ahl-e-Hadith scholarship, TV programs",Islam Ka Nizam e Zindagi|Maktaba Ibtasim,Ibtasim Ilahi Zaheer Official,2.1,Scholarly/Analytical,"Religious Students, Scholars",comparison,Aqeedah,comparison,english,"Ibtasim Illahi Zaheer aur Tariq Jameel dono ache scholars hain lekin alag style rakhte hain. Ibtasim Illahi Zaheer ka andaz Scholarly/Analytical hai aur Religious Students, Scholars ke liye best hai. Tariq Jameel ka andaz Emotional hai aur General Muslim Public ke liye suitable hai. Aapki zaroorat ke mutabiq choose karein.",Ibtasim Illahi Zaheer,1
61,Ibtasim Illahi Zaheer aur Javed Ahmad Ghamidi ka aqeedah,Ibtasim Illahi Zaheer,ابتسام الٰہی ظہیر,1975,Pakistan,Urdu|Arabic|English,Ahl-e-Hadith Fiqh|Comparative Religion|Dawah,"Scholarly debates, Ahl-e-Hadith scholarship, TV programs",Islam Ka Nizam e Zindagi|Maktaba Ibtasim,Ibtasim Ilahi Zaheer Official,2.1,Scholarly/Analytical,"Religious Students, Scholars",comparison,Family Law,comparison,english,"Ibtasim Illahi Zaheer aur Javed Ahmad Ghamidi dono ache scholars hain lekin alag style rakhte hain. Ibtasim Illahi Zaheer ka andaz Scholarly/Analytical hai aur Religious Students, Scholars ke liye best hai. Javed Ahmad Ghamidi ka andaz Intellectual/Reform hai aur Educated Elite, Doubting Muslims ke liye suitable hai. Aapki zaroorat ke mutabiq choose karein.",Ibtasim Illahi Zaheer,1
62,Ibtasim Illahi Zaheer ne Aqeedah par kya kaha?,Ibtasim Illahi Zaheer,ابتسام الٰہی ظہیر,1975,Pakistan,Urdu|Arabic|English,Ahl-e-Hadith Fiqh|Comparative Religion|Dawah,"Scholarly debates, Ahl-e-Hadith scholarship, TV programs",Islam Ka Nizam e Zindagi|Maktaba Ibtasim,Ibtasim Ilahi Zaheer Official,2.1,Scholarly/Analytical,"Religious Students, Scholars",topic,Aqeedah,information,english,"Ibtasim Illahi Zaheer ne Aqeedah par bohat detail se baat ki hai. Unke is topic ke lectures 'Ibtasim Ilahi Zaheer Official' pe available hain. Woh Ahl-e-Hadith Fiqh, Comparative Religion ke expert hain isliye unki baat qabil e amal hai.",Ibtasim Illahi Zaheer,1
63,Ibtasim Illahi Zaheer views on Aqeedah,Ibtasim Illahi Zaheer,ابتسام الٰہی ظہیر,1975,Pakistan,Urdu|Arabic|English,Ahl-e-Hadith Fiqh|Comparative Religion|Dawah,"Scholarly debates, Ahl-e-Hadith scholarship, TV programs",Islam Ka Nizam e Zindagi|Maktaba Ibtasim,Ibtasim Ilahi Zaheer Official,2.1,Scholarly/Analytical,"Religious Students, Scholars",topic,Aqeedah,information,english,"Ibtasim Illahi Zaheer ne Aqeedah par bohat detail se baat ki hai. Unke is topic ke lectures 'Ibtasim Ilahi Zaheer Official' pe available hain. Woh Ahl-e-Hadith Fiqh, Comparative Religion ke expert hain isliye unki baat qabil e amal hai.",Ibtasim Illahi Zaheer,1
64,ابتسام الٰہی ظہیر ka Hadith Science ke barey mein lecture,Ibtasim Illahi Zaheer,ابتسام الٰہی ظہیر,1975,Pakistan,Urdu|Arabic|English,Ahl-e-Hadith Fiqh|Comparative Religion|Dawah,"Scholarly debates, Ahl-e-Hadith scholarship, TV programs",Islam Ka Nizam e Zindagi|Maktaba Ibtasim,Ibtasim Ilahi Zaheer Official,2.1,Scholarly/Analytical,"Religious Students, Scholars",topic,Hadith Science,information,english,"Ibtasim Illahi Zaheer ne Hadith Science par bohat detail se baat ki hai. Unke is topic ke lectures 'Ibtasim Ilahi Zaheer Official' pe available hain. Woh Ahl-e-Hadith Fiqh, Comparative Religion ke expert hain isliye unki baat qabil e amal hai.",Ibtasim Illahi Zaheer,1
65,What does Ibtasim Illahi Zaheer say about Aqeedah?,Ibtasim Illahi Zaheer,ابتسام الٰہی ظہیر,1975,Pakistan,Urdu|Arabic|English,Ahl-e-Hadith Fiqh|Comparative Religion|Dawah,"Scholarly debates, Ahl-e-Hadith scholarship, TV programs",Islam Ka Nizam e Zindagi|Maktaba Ibtasim,Ibtasim Ilahi Zaheer Official,2.1,Scholarly/Analytical,"Religious Students, Scholars",topic,Aqeedah,information,english,"Ibtasim Illahi Zaheer ne Aqeedah par bohat detail se baat ki hai. Unke is topic ke lectures 'Ibtasim Ilahi Zaheer Official' pe available hain. Woh Ahl-e-Hadith Fiqh, Comparative Religion ke expert hain isliye unki baat qabil e amal hai.",Ibtasim Illahi Zaheer,1
66,Ibtasim Illahi Zaheer Hadith Science explanation,Ibtasim Illahi Zaheer,ابتسام الٰہی ظہیر,1975,Pakistan,Urdu|Arabic|English,Ahl-e-Hadith Fiqh|Comparative Religion|Dawah,"Scholarly debates, Ahl-e-Hadith scholarship, TV programs",Islam Ka Nizam e Zindagi|Maktaba Ibtasim,Ibtasim Ilahi Zaheer Official,2.1,Scholarly/Analytical,"Religious Students, Scholars",topic,Hadith Science,information,english,"Ibtasim Illahi Zaheer ne Hadith Science par bohat detail se baat ki hai. Unke is topic ke lectures 'Ibtasim Ilahi Zaheer Official' pe available hain. Woh Ahl-e-Hadith Fiqh, Comparative Religion ke expert hain isliye unki baat qabil e amal hai.",Ibtasim Illahi Zaheer,1
67,Israr Ahmed ki zindagi ke barey mein batao,Israr Ahmed,اسرار احمد,1932,Pakistan,Urdu,Quran Tafsir|Islamic Revival|Khilafah,"Tanzeem-e-Islami, detailed Quranic tafsir, Islamic state concept",Bayan ul Quran|Islam Aur Pakistan|Tahreek e Islami,Dr Israr Ahmed Official,3.2,Academic/Revolutionary,"Educated Muslims, Youth",biography,Iman,information,english,"Israr Ahmed (اسرار احمد) 1932 mein Pakistan mein paida hue. Woh Quran Tafsir, Islamic Revival mein mahir hain. Woh Tanzeem-e-Islami, detailed Quranic tafsir, Islamic state concept ke liye mashoor hain. Unka andaz Academic/Revolutionary hai aur yeh Educated Muslims, Youth ke liye kaam karte hain.",Israr Ahmed,2
68,Who is Israr Ahmed?,Israr Ahmed,اسرار احمد,1932,Pakistan,Urdu,Quran Tafsir|Islamic Revival|Khilafah,"Tanzeem-e-Islami, detailed Quranic tafsir, Islamic state concept",Bayan ul Quran|Islam Aur Pakistan|Tahreek e Islami,Dr Israr Ahmed Official,3.2,Academic/Revolutionary,"Educated Muslims, Youth",biography,Iman,information,english,"Israr Ahmed (اسرار احمد) 1932 mein Pakistan mein paida hue. Woh Quran Tafsir, Islamic Revival mein mahir hain. Woh Tanzeem-e-Islami, detailed Quranic tafsir, Islamic state concept ke liye mashoor hain. Unka andaz Academic/Revolutionary hai aur yeh Educated Muslims, Youth ke liye kaam karte hain.",Israr Ahmed,2
69,اسرار احمد kab paida hue?,Israr Ahmed,اسرار احمد,1932,Pakistan,Urdu,Quran Tafsir|Islamic Revival|Khilafah,"Tanzeem-e-Islami, detailed Quranic tafsir, Islamic state concept",Bayan ul Quran|Islam Aur Pakistan|Tahreek e Islami,Dr Israr Ahmed Official,3.2,Academic/Revolutionary,"Educated Muslims, Youth",biography,Jihad bil Nafs,information,english,"Israr Ahmed (اسرار احمد) 1932 mein Pakistan mein paida hue. Woh Quran Tafsir, Islamic Revival mein mahir hain. Woh Tanzeem-e-Islami, detailed Quranic tafsir, Islamic state concept ke liye mashoor hain. Unka andaz Academic/Revolutionary hai aur yeh Educated Muslims, Youth ke liye kaam karte hain.",Israr Ahmed,2
70,Israr Ahmed ka background kya hai?,Israr Ahmed,اسرار احمد,1932,Pakistan,Urdu,Quran Tafsir|Islamic Revival|Khilafah,"Tanzeem-e-Islami, detailed Quranic tafsir, Islamic state concept",Bayan ul Quran|Islam Aur Pakistan|Tahreek e Islami,Dr Israr Ahmed Official,3.2,Academic/Revolutionary,"Educated Muslims, Youth",biography,Khilafah,information,english,"Israr Ahmed (اسرار احمد) 1932 mein Pakistan mein paida hue. Woh Quran Tafsir, Islamic Revival mein mahir hain. Woh Tanzeem-e-Islami, detailed Quranic tafsir, Islamic state concept ke liye mashoor hain. Unka andaz Academic/Revolutionary hai aur yeh Educated Muslims, Youth ke liye kaam karte hain.",Israr Ahmed,2
71,Tell me about Israr Ahmed,Israr Ahmed,اسرار احمد,1932,Pakistan,Urdu,Quran Tafsir|Islamic Revival|Khilafah,"Tanzeem-e-Islami, detailed Quranic tafsir, Islamic state concept",Bayan ul Quran|Islam Aur Pakistan|Tahreek e Islami,Dr Israr Ahmed Official,3.2,Academic/Revolutionary,"Educated Muslims, Youth",biography,Islamic State,information,english,"Israr Ahmed (اسرار احمد) 1932 mein Pakistan mein paida hue. Woh Quran Tafsir, Islamic Revival mein mahir hain. Woh Tanzeem-e-Islami, detailed Quranic tafsir, Islamic state concept ke liye mashoor hain. Unka andaz Academic/Revolutionary hai aur yeh Educated Muslims, Youth ke liye kaam karte hain.",Israr Ahmed,2
72,اسرار احمد ki family ke barey mein,Israr Ahmed,اسرار احمد,1932,Pakistan,Urdu,Quran Tafsir|Islamic Revival|Khilafah,"Tanzeem-e-Islami, detailed Quranic tafsir, Islamic state concept",Bayan ul Quran|Islam Aur Pakistan|Tahreek e Islami,Dr Israr Ahmed Official,3.2,Academic/Revolutionary,"Educated Muslims, Youth",biography,Iman,information,english,"Israr Ahmed (اسرار احمد) 1932 mein Pakistan mein paida hue. Woh Quran Tafsir, Islamic Revival mein mahir hain. Woh Tanzeem-e-Islami, detailed Quranic tafsir, Islamic state concept ke liye mashoor hain. Unka andaz Academic/Revolutionary hai aur yeh Educated Muslims, Youth ke liye kaam karte hain.",Israr Ahmed,2
73,Israr Ahmed early life,Israr Ahmed,اسرار احمد,1932,Pakistan,Urdu,Quran Tafsir|Islamic Revival|Khilafah,"Tanzeem-e-Islami, detailed Quranic tafsir, Islamic state concept",Bayan ul Quran|Islam Aur Pakistan|Tahreek e Islami,Dr Israr Ahmed Official,3.2,Academic/Revolutionary,"Educated Muslims, Youth",biography,Iman,information,english,"Israr Ahmed (اسرار احمد) 1932 mein Pakistan mein paida hue. Woh Quran Tafsir, Islamic Revival mein mahir hain. Woh Tanzeem-e-Islami, detailed Quranic tafsir, Islamic state concept ke liye mashoor hain. Unka andaz Academic/Revolutionary hai aur yeh Educated Muslims, Youth ke liye kaam karte hain.",Israr Ahmed,2
74,Israr Ahmed ki best taqreer kaun si hai?,Israr Ahmed,اسرار احمد,1932,Pakistan,Urdu,Quran Tafsir|Islamic Revival|Khilafah,"Tanzeem-e-Islami, detailed Quranic tafsir, Islamic state concept",Bayan ul Quran|Islam Aur Pakistan|Tahreek e Islami,Dr Israr Ahmed Official,3.2,Academic/Revolutionary,"Educated Muslims, Youth",lectures,Quran,lecture_search,english,"Israr Ahmed ke Quran par bohat ache bayans hain. Aap unka YouTube channel 'Dr Israr Ahmed Official' pe dekh sakte hain. Unke approximately 3.2 million followers hain. Unka style Academic/Revolutionary hai jo Educated Muslims, Youth ko pasand hai.",Israr Ahmed,2
75,Israr Ahmed lectures on Khilafah,Israr Ahmed,اسرار احمد,1932,Pakistan,Urdu,Quran Tafsir|Islamic Revival|Khilafah,"Tanzeem-e-Islami, detailed Quranic tafsir, Islamic state concept",Bayan ul Quran|Islam Aur Pakistan|Tahreek e Islami,Dr Israr Ahmed Official,3.2,Academic/Revolutionary,"Educated Muslims, Youth",lectures,Khilafah,lecture_search,english,"Israr Ahmed ke Khilafah par bohat ache bayans hain. Aap unka YouTube channel 'Dr Israr Ahmed Official' pe dekh sakte hain. Unke approximately 3.2 million followers hain. Unka style Academic/Revolutionary hai jo Educated Muslims, Youth ko pasand hai.",Israr Ahmed,2
76,اسرار احمد ka bayan YouTube pe,Israr Ahmed,اسرار احمد,1932,Pakistan,Urdu,Quran Tafsir|Islamic Revival|Khilafah,"Tanzeem-e-Islami, detailed Quranic tafsir, Islamic state concept",Bayan ul Quran|Islam Aur Pakistan|Tahreek e Islami,Dr Israr Ahmed Official,3.2,Academic/Revolutionary,"Educated Muslims, Youth",lectures,Khilafah,lecture_search,english,"Israr Ahmed ke Khilafah par bohat ache bayans hain. Aap unka YouTube channel 'Dr Israr Ahmed Official' pe dekh sakte hain. Unke approximately 3.2 million followers hain. Unka style Academic/Revolutionary hai jo Educated Muslims, Youth ko pasand hai.",Israr Ahmed,2
77,Best Israr Ahmed speech ever,Israr Ahmed,اسرار احمد,1932,Pakistan,Urdu,Quran Tafsir|Islamic Revival|Khilafah,"Tanzeem-e-Islami, detailed Quranic tafsir, Islamic state concept",Bayan ul Quran|Islam Aur Pakistan|Tahreek e Islami,Dr Israr Ahmed Official,3.2,Academic/Revolutionary,"Educated Muslims, Youth",lectures,Quran,lecture_search,english,"Israr Ahmed ke Quran par bohat ache bayans hain. Aap unka YouTube channel 'Dr Israr Ahmed Official' pe dekh sakte hain. Unke approximately 3.2 million followers hain. Unka style Academic/Revolutionary hai jo Educated Muslims, Youth ko pasand hai.",Israr Ahmed,2
